"Departamento","Valle del Cauca","VIAS DEPARTAMENTALES
Decreto no. 0216 del 27 de febrero de 2018 
Código Vía","Nombre Vía
Decreto no. 0216 del 27 de febrero de 2018 
Código Vía","Sub Region","Micro region","Municipios","Categoría","Longitud
(m)","Longitud
(km)","Escarpado","Montañoso","Ondulado","Plano","Destapado","Afirmado","Pavimento asfaltico","Tratamiento superficial","Pavimento rígido","Placa huella","Pavimento articulado","Otro","Bueno","Regular","Malo","Pésimo","Intransitable"
"1","VALLE DEL CAUCA","3201","VIA SIMON BOLIVAR (KM21- KM 30 (BORRERO AYERBE) - QUEREMAL - DANUBIO - AGUA CLARA - BUENAVENTURA (EL PAILÓN))","Pacifico - Sur","Pacifico - Sur - Cali","Buenaventura - Dagua","2","109,527.9864","109.5279864","39,437.37185","7,971.964578","23,255.88884","38,862.76106","6,947.075249","44,530.80186","51,366.35425","99.57213041","6,535.900022","48.28281136","0","0","39,315.2793","38,366.11978","23,819.57179","8,027.015451","0"
"2","VALLE DEL CAUCA","3401","PALMIRA - TIENDA NUEVA - POTRERILLO - VIA HACIA EL TOLIMA","Sur","Sur- Palmira","Palmira","2","54,271.85935","54.27185935","17,208.89374","4,425.036263","10,408.83545","22,229.0939","0","42,417.47882","11,589.569","0","106.6078292","0","158.2037011","0","22,757.31097","27,560.59916","3,696.565446","257.3837781","0"
"3","VALLE DEL CAUCA","05VL04","BUENAVENTURA (CRUCE RUTA 4001 GALLINERO) - CRUCE AGUA DULCE","Pacifico","Pacifico","Buenaventura","1","7,136.523384","7.136523384","854.1621504","292.5468901","1,075.826565","4,913.987779","0","85.36760212","7,051.155782","0","0","0","0","0","6,297.291464","819.9253448","19.30657482","0","0"
"4","VALLE DEL CAUCA","05VL04-1","CRUCE  AGUA DULCE - BAHIA MALAGA","Pacifico","Pacifico","Buenaventura","2","97,810.32093","97.81032093","5,804.453196","3,216.949922","9,910.199459","78,878.71835","51,163.95331","45,179.74993","0","0","29.13990482","1,437.477777","0","0","1,422.391551","10,734.90627","26,536.13884","8,792.944543","50,323.93972"
"5","VALLE DEL CAUCA","19VL01","RAMAL A DAGUA","Sur","Sur- Cali","Dagua","2","1,405.90419","1.40590419","462.9335617","89.86775307","235.0182911","618.0845843","0","100.1364772","1,305.767713","0","0","0","0","0","396.353367","1,009.550823","0","0","0"
"6","VALLE DEL CAUCA","19VL02","CRUCE RUTA 1901 - BITACO - LA CUMBRE - PAVAS - RESTREPO","Centro - Sur","Centro Buga/ Sur- Cali","Restrepo - La Cumbre - Dagua","2","43,608.32288","43.60832288","10,943.47049","3,389.818401","7,217.516746","22,057.51724","412.052494","9,122.7971","32,447.63514","93.38292002","1,532.455221","0","0","0","5,474.919236","28,427.54696","8,645.014668","1,060.842014","0"
"7","VALLE DEL CAUCA","23VL02","YUMBO - LA CUMBRE","Sur","Sur- Cali","La Cumbre - Yumbo","2","16,690.06297","16.69006297","4,242.996951","3,866.000773","4,409.533092","4,171.532142","0","95.8235713","98.09314821","92.76712196","16,403.37912","0","0","0","4,753.471372","8,171.359846","3,566.898578","198.3331618","0"
"8","VALLE DEL CAUCA","23VL04","VIJES - RESTREPO","Centro - Sur","Centro - Buga / Sur Cali","Restrepo - Vijes","2","28,299.50462","28.29950462","12,149.798","1,710.165369","4,412.307935","10,027.23332","786.7886013","15,823.08397","11,281.08531","96.37427169","0","312.1724692","0","0","4,753.247853","12,304.69664","10,356.3951","885.165024","0"
"9","VALLE DEL CAUCA","23VL09","ROLDANILLO - EL DOVIO","Centro- Norte","Centro - Tulua / Norte -Zarzal - Roldanillo","Roldanillo - El Dovio","2","21,182.33772","21.18233772","6,312.414399","1,361.04042","4,497.796564","9,011.086337","0","404.4721988","16,487.68527","0","4,290.18025","0","0","0","5,543.889131","13,209.78195","2,428.666635","0","0"
"10","VALLE DEL CAUCA","23VL10","SAN LUIS - LA UNION - QUEBRADAGRANDE","Norte","Norte -Zarzal - Roldanillo","La Union","2","15,035.8095","15.0358095","3,484.222675","1,035.473456","2,338.442825","8,177.670547","0","0","13,939.60243","0","1,096.20707","0","0","0","2,816.325524","5,910.914383","5,203.537782","1,105.031815","0"
"11","VALLE DEL CAUCA","23VL13","TRUJILLO - RIO FRIO","Centro","Centro - Tulua","Trujillo - Riofrio","2","10,754.95906","10.75495906","2,965.271809","454.8649896","1,050.794474","6,284.027792","0","0","10,444.55462","0","310.4044461","0","0","0","10,144.01362","509.8044733","101.1409753","0","0"
"12","VALLE DEL CAUCA","23VL13-1","DARIEN - FENICIA - TRUJILLO","Centro","Centro Tulua / Centro - Buga","Darien - Riofrio - Trujillo","3","72,547.63019","72.54763019","24,847.43577","5,893.262119","16,484.19027","25,322.74203","193.6795444","44,191.75861","20,866.02492","98.99802492","3,426.549288","3,770.61981","0","0","14,270.19388","49,833.50654","8,237.657014","206.2727514","0"
